게시글번호,말머리,제목,내용,글쓴이,추천수,조회수,날짜,링크
14376,[일반],봉사는 청소시간 외에 어떻게 채워야하나요?,1학년때 청소밖에 없는데 뭐로 채워야하나요,오량인 (106.101) 2026.04.21 21:21:18 스크랩 조회 582 추천 0 댓글 7,0,582,2026.04.21 21:21:18,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14376&page=4
14372,[일반],선생님께서 읽으셔야 할 글,"문학 수행평가가 갑작스럽게 오늘 미뤄졌는데 만약에 이 글을 선생님께서 보신다면 꼭 말해주셔야 할 것이 있습니다 1. 왜 수행평가 일정을 미루게 되었는지 2. 기존 수행평가를 이미 본 학생들의 결과는 어떻게 되는지 3. 수행평가를 안 본다고 하고 왜 시험범위를 늘리게 되었는지 4. 기존 수행평가에 어떠한 문제점이 있었는지 선생님들께서는 평가기준표를 사전에 이미 클래스룸에 공지한 바가 있었고 두번씩이나 재차 강조를 하셨습니다. 하지만 학생들 입장에서는 아무 해명 없이 이렇게 수행평가를 미루게 된 것을 납득하기가 어렵습니다. 이미 수행평가를 본 학생들의 시간이 날아가고, AI나 컨닝 등의 부정행위로 걸린 학생들이 무수히 많은 상황에서 이렇게 아무런 해명없이 지나가신다면 ""특정 학생들의 내신을 구원해주기 위한"" 행동이었다고 판단할 수 밖에 없습니다. 시험 2주전인데 이렇게 시험범위를 대폭 증가 시킨다는 것은 학생들의 입장에서는 납득하기 어려운 부분입니다. ""자주반이 수행평가 망쳐서 그런거 아니냐"" 등의 사실 관계가 확실하지 않은 말들이 퍼지지 않게 하시려면 되도록 빨리 해명을 해주시면 좋겠습니다.",오량인 (14.50) 2026.04.21 13:07:59 스크랩 조회 1184 추천 19 댓글 3,19,1184,2026.04.21 13:07:59,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14372&page=4
14370,[일반],문학,아니 문학 수행 다시 보는거 찐임? 소문으로는 자주반 2명이 3점 깎일까봐 그렇다는데 ㄹㅇ임?,오량인 (104.28) 2026.04.21 10:29:18 스크랩 조회 934 추천 5 댓글 8,5,934,2026.04.21 10:29:18,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14370&page=4
14367,[일반],작년 내신 5등급제에서,1점대 초반으로 맞춰놓고 생기부도 화공쪽으로 깔아뒀는데 갑자기 영화감독이 너무 하고 싶음… 어떡하지 - dc official App,오량인 (64.34) 2026.04.21 01:13:10 스크랩 조회 628 추천 0 댓글 1,0,628,2026.04.21 01:13:10,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14367&page=4
14371,[일반],요즘도 ㅎㅈㅅ쌤 턱걸이 하심?,옛날에는 10개는 그냥 하셨는데,오량인 (1.245) 2026.04.21 11:15:39 스크랩 조회 580 추천 0 댓글 0,0,580,2026.04.21 11:15:39,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14371&page=4
14369,[일반],영양사 아주머니,밥 먹는데 자꾸 말 좀 거지마세요ㅆㅂ 왜 그러시는 건데요,오량인 (14.50) 2026.04.21 09:08:07 스크랩 조회 787 추천 19 댓글 7,19,787,2026.04.21 09:08:07,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14369&page=4
14366,[일반],진짜 심각하게 얘기 꺼내는건데,진짜 내일부터 공부한다!!!!!,오량인 (121.184) 2026.04.21 00:13:54 스크랩 조회 609 추천 2 댓글 0,2,609,2026.04.21 00:13:54,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14366&page=4
14364,[일반],나 그냥,정시한다 -선언-,오량인 (211.230) 2026.04.20 22:47:55 스크랩 조회 362 추천 3 댓글 1,3,362,2026.04.20 22:47:55,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14364&page=4
14363,[일반],10들 공부,10 애들 공부 다 너무 잘하는 것 같아요ㅠㅠ 이번에 작년보다 수준이 전체적으로 높다는데 어떤가요?,오량인 (117.111) 2026.04.20 21:36:32 스크랩 조회 558 추천 0 댓글 4,0,558,2026.04.20 21:36:32,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14363&page=4
14361,[일반],대신고,건물 전체가 곰팡이에 쩔었나 어떻게 올때마다 안나오던 콧물이 계속 나오냐,오량인 (14.50) 2026.04.20 08:37:40 스크랩 조회 502 추천 5 댓글 1,5,502,2026.04.20 08:37:40,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14361&page=4
14357,[일반],안녕하세요 07 졸업생인데 뭐든 질문 받아요,지금 대학 시험기간인데 심심해서 질문 받아요 본인 프로필 - 나름 인지도 있는 동아리 소속 - 활동으론 07 내에서 나름 유명함 - 그냥 심심함 청년 대답은 그냥 반말로 할게요 저 심심한데 아무나 질문 좀,불공평한도장 2026.04.20 00:28:42 스크랩 조회 682 추천 1 댓글 24,1,682,2026.04.20 00:28:42,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14357&page=4
14362,[일반],대신고 입결,"선생님들이 5점대도 가천대 갔다, 낮은 등급이 인서울했다는 등의 얘기 하는거 일반전형 얘기하는거에요? 일반 전형으로 몇점대까지 가천대 이상의 대학 가나요? 5점대도 세종대 가고 그랬다는데 그거 사통 전형인가요?",오량인 (119.203) 2026.04.20 21:26:28 스크랩 조회 651 추천 0 댓글 5,0,651,2026.04.20 21:26:28,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14362&page=4
14360,[일반],10들아 모고 29번,뭔 ㄱ소리인지를 모르겠는데 이해됨? 답은 아는데 개념 모형이 뭔지를 모르겠음 - dc official App,오량인 (1.245) 2026.04.20 01:20:22 스크랩 조회 578 추천 2 댓글 1,2,578,2026.04.20 01:20:22,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14360&page=4
14358,[일반],07형들중에,"일반전형,고른기회,정시 다 포함해서 입결 정리해주실 존잘이면서 착하신분없나요",오량인 (59.26) 2026.04.20 00:57:06 스크랩 조회 472 추천 1 댓글 5,1,472,2026.04.20 00:57:06,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14358&page=4
14356,[일반],여기학교 게이많음?,ㅈㄱㄴ - dc official App,오량인 (106.101) 2026.04.19 19:01:06 스크랩 조회 470 추천 5 댓글 1,5,470,2026.04.19 19:01:06,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14356&page=4
14355,[일반],독토글 1등급 받기 어렵나요?,독토글 1등급 받기 힘들어요?,오량인 (58.78) 2026.04.19 18:54:08 스크랩 조회 511 추천 0 댓글 6,0,511,2026.04.19 18:54:08,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14355&page=4
14354,[일반],꿈동아리,어디가 붙으려나 - dc official App,El_Salvador 2026.04.19 18:39:57 스크랩 조회 712 추천 17 댓글 4,17,712,2026.04.19 18:39:57,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14354&page=4
14352,[일반],본인 오량인은 아닌데,니네 학교 이쁘더라. 약한영웅 촬영지더라고,오량인 (211.208) 2026.04.19 06:41:02 스크랩 조회 417 추천 5 댓글 2,5,417,2026.04.19 06:41:02,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14352&page=4
14353,[일반],전학 가고싶은데요.,중간고사 끝나고 전학도 가능한가요? 아니면 기말까지 끝나야 전학 갈 수 있나요? 과도한 수행평가와 동아리 활동으로 공부 할 시간은 없고 시험은 어렵게 낸다고하니 이미 많이 선행해온 아이들만 유리한것같아요. 수행평가도 적당히 꼭 필요한 과목만 1개씩 내면 오히려 퀄리티 높은 수행평가가 될 것 같은데~과목별로 양이 많으니 시간에 쫒겨 대충하게되는것 같아요. 잠도 부족해 수업시간에도 너무 졸려요. 적어도 내신준비 기간에는 동아리활동도 쉬면 좋겠는데 계속 할 것 같아요. 3년 내내 이런 학교인거죠? ㅜㅜ,오량인 (58.78) 2026.04.19 16:11:10 스크랩 조회 614 추천 3 댓글 13,3,614,2026.04.19 16:11:10,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14353&page=4
14351,[일반],나만그러냐,아직도 일본 수학여행에서 빠져나오지 못했다..,오량인 (118.235) 2026.04.19 01:23:54 스크랩 조회 435 추천 8 댓글 2,8,435,2026.04.19 01:23:54,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14351&page=4
14350,[일반],쉬하고나서,귀두 조금 문지르고 맡아봤는데 약간 구운 오징어 냄새나서 입맛 살짝 돌음ㅇ…,오량인 (121.159) 2026.04.18 23:08:54 스크랩 조회 469 추천 1 댓글 0,1,469,2026.04.18 23:08:54,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14350&page=4
14348,[일반],ㄴㅊㅎ선생님 사회 공부 어케해야하나오,피피티보면서 걍 냅다 외우는건가요? - dc official App,오량인 (110.8) 2026.04.18 18:59:34 스크랩 조회 521 추천 1 댓글 2,1,521,2026.04.18 18:59:34,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14348&page=4
14347,[일반],선생님 평가? ㅋㅋ,"일단 존경하는 선생님들을 함부로 서열화시키고 평가질하면 안되는 거고, 정 하고 싶으면 생기부까지 다 받은 후, 그러니까 1년 후에 평가하는 게 가장 정확하다. 그러면 몰래몰래 좋은사람인척하는 화학교사 등등을 걸러낼 수 있다.",ㅇㅇ (116.33) 2026.04.18 18:34:28 스크랩 조회 674 추천 15 댓글 1,15,674,2026.04.18 18:34:28,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14347&page=4
14346,[일반],10들아,내신공부 열심히해라 본인 2점대 초반인데 1점대찍먹하는 경우의수를 봤는데 존나쉽지가 않다...... 나중에 너희가 공부안해서 싼똥은 너희가 다 치워야한다는걸 잊지마라,오량인 (211.230) 2026.04.18 18:06:49 스크랩 조회 353 추천 4 댓글 0,4,353,2026.04.18 18:06:49,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14346&page=4
14345,[일반],여자들만 들어와봐,왜 들어오냐 - dc official App,오량인 (149.88) 2026.04.18 09:22:28 스크랩 조회 679 추천 14 댓글 0,14,679,2026.04.18 09:22:28,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14345&page=4
14338,[일반],대신고 홈피 근황,엄 ㅋㅋㅋㅋ,CloudR 2026.04.16 15:45:24 스크랩 조회 557 추천 5 댓글 1,5,557,2026.04.16 15:45:24,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14338&page=4
14342,[일반],ㄱㅌㅎ쌤 너무 저평가인데,문제 번호 언제 부를지 몰라서 손 드는 연습하고 있으면 시간 잘 간다....ㅇㅇ,오량인 (112.150) 2026.04.16 23:21:30 스크랩 조회 671 추천 5 댓글 0,5,671,2026.04.16 23:21:30,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14342&page=4
14340,[일반],동아리 회장될려면 뭐준비하면 되나요,개하고싶음 - dc official App,오량인 (110.8) 2026.04.16 22:14:31 스크랩 조회 495 추천 2 댓글 4,2,495,2026.04.16 22:14:31,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14340&page=4
14344,[일반],너희들이 몰라서 그런데,ㅇㅈㅎ 쌤이 말하시는 말씀중에 틀린말 하나도 없다 발표할 때 지적하시는거? 감내해라 그것도 ㅇㅈㅎ 쌤의 매력이다 ㅇㅈㅎ 쌤 덕분에 대가리 깨지고 현실 직시했다 나중에 깨닫게 될거다,오량인 (210.117) 2026.04.17 02:52:32 스크랩 조회 714 추천 4 댓글 2,4,714,2026.04.17 02:52:32,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14344&page=4
14343,[질문],도마켓,토요일마다 학원빠지면서 할만한 가치가 있나요?,오량인 (1.245) 2026.04.17 00:48:23 스크랩 조회 618 추천 1 댓글 3,1,618,2026.04.17 00:48:23,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14343&page=4
14339,[일반],대신고다니면서 이건 꼭 해결해야할것같습니다.,음바페 발롱 받아야합니다.,오량인 (14.50) 2026.04.16 17:23:33 스크랩 조회 496 추천 2 댓글 0,2,496,2026.04.16 17:23:33,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14339&page=4
14337,[일반],업보청산,강제독서인가 뭐시기 하느라 고생이 많다 ㅇㅇ 시험기간 화이팅하고 다음에 다시 놀러옴 쓴사람 썻다고 댓글에 알려주기 부탁함!!,Ephemeral_ 2026.04.16 01:37:39 스크랩 조회 819 추천 5 댓글 17,5,819,2026.04.16 01:37:39,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14337&page=4
14336,[일반],수행 1점 감점되면 개망한건가요,ㅠㅠ너무우울해요 - dc official App,오량인 (110.8) 2026.04.16 00:55:03 스크랩 조회 612 추천 0 댓글 2,0,612,2026.04.16 00:55:03,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14336&page=4
14334,[일반],D-19 진도율 ㅈ됨,국어 0% 영어 0% 수학 10% 사회 2% 과학 1% 한국사 3% 독토론 0% - dc official App,오량인 (1.245) 2026.04.15 22:52:17 스크랩 조회 708 추천 13 댓글 2,13,708,2026.04.15 22:52:17,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14334&page=4
14333,[일반],한국사 공부,그냥 쌤들이 준 프린트만 잘 외워도 1등급 나오나요??,오량인 (14.50) 2026.04.15 19:19:03 스크랩 조회 496 추천 0 댓글 4,0,496,2026.04.15 19:19:03,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14333&page=4
14332,[일반],하...,한 씨 아들 이름 ㅊㅊ,오량인 (14.50) 2026.04.15 15:39:03 스크랩 조회 500 추천 0 댓글 4,0,500,2026.04.15 15:39:03,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14332&page=4
14331,[일반],독서가 모고 성적에 도움이 된다고?,그건 초딩 중딩때 해놓았어야지ㅋㅋㅋㅋㅋㅋㅋ 지금 내신에 치이고 활동에 치이는 상황에서 애들 공부시간만 뺏어가는 독서 프로그램은 솔직히 쓸모가 없음 그렇다고 참여율이 좋은것도 아닌데다가 상위권은 화장실에서 몰래 공부하고 중위권은 시간만 뺏기고 하위권은 처자는 프로그램이고 실제로 국어 모고 성적에 유의미하게 결과가 나온 것도 아닌데 왜 이걸 2년동안 끌고가는지 모르겠는 본인임 걍 선생년들 자존심 부리는걸로밖에 안보임ㅇㅇ,오량인 (14.50) 2026.04.15 08:43:58 스크랩 조회 733 추천 12 댓글 5,12,733,2026.04.15 08:43:58,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14331&page=4
14329,[일반],동아리 폼 역대 최저인 곳은,CLOUD임 이유는 뭐 잘 알거라고 생각하고 동아리실 생겨 예산도 빵빵해 대학연계도 해주셔 담당쌤이 불쌍하게 느껴진건 이번이 처음임 08들이 산소호흡기 붙여놨는데 그걸 떼버리네 참고로 내 동아리는 날샘임 ㅇㅇ,오량인 (210.117) 2026.04.15 02:33:40 스크랩 조회 799 추천 6 댓글 4,6,799,2026.04.15 02:33:40,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14329&page=4
14330,[일반],인스파이어,인스파이어는 대체 뭐하는 동아리냐?,오량인 (14.50) 2026.04.15 08:29:18 스크랩 조회 433 추천 1 댓글 2,1,433,2026.04.15 08:29:18,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14330&page=4
14328,[일반],충남고에서 왔는데,씨발 역시 명문 대신고 갤러리부터 존나 활발하노 하 ㅈ같다 존나가고싶다 씨발,ㅇㅇ (112.150) 2026.04.15 00:58:58 스크랩 조회 572 추천 2 댓글 0,2,572,2026.04.15 00:58:58,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14328&page=4
14327,[일반],안녕하세요,안녕하세요 대신고를 생각하고있는 11년생입니다 학교에서 고입상담을 받아서 자연스레 대신고에 관심이 생겨서 목표로 하고있는데 질문이 있어서 글 써봅니다! 일단 이번에 입학한 10년생 선배님들은 1단계 교과점수 커트라인이 어느정도였었는지 궁금합니다 그리고 중학교 생기부가 면접볼때같이 영향을 많이 미치는지도 궁금합니다. 답변해주시면 정말 감사하겠습니다! - dc official App,오량인 (211.235) 2026.04.15 00:38:20 스크랩 조회 467 추천 1 댓글 10,1,467,2026.04.15 00:38:20,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14327&page=4
14326,[일반],솔직히 DDC,책 읽기 선택이었으면 별 문제 없었을거임 애들 입장에서는 2학년 때 꼭 성적 올리고 싶거나 유지라도 하고 싶은데.. 그 시간에 책을 읽어라..? 시간 아까워서 미침 ㅋㅋㅋ 근데 그 시간 동안에 공부해도 성적 안 오른다고 하시는 쌤도 있었는데.. 그 시간에도 악착같이 공부해야 오르는게 성적 아님? 그리고 책 읽으면 국어 모의고사 실력에 도움이 된다 하셨는데 국어 모의고사 실력을 올리고 싶으면 기출 푸는게 맞지.. 뭔 책이야;; 국어 기출만 풀려도 애들 국어 성적 오른다 ㄹㅇ로,오량인 (124.53) 2026.04.14 22:25:24 스크랩 조회 603 추천 14 댓글 3,14,603,2026.04.14 22:25:24,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14326&page=4
14325,[일반],고물 ㅂㅎㅈ 안들어와서 좋으면 개추,야르~,ㅇㅇ (183.107) 2026.04.14 22:01:17 스크랩 조회 407 추천 6 댓글 1,6,407,2026.04.14 22:01:17,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14325&page=4
14322,[일반],물리시간,졸려서 수업 들으려고 뒤에 나가려고하면 꼭 노트북 패드 이빠이 깔아두고 수업도 안들으면서 딴짓하는 친구때문에 맨날 피곤해서 자리에 앉아서 잠이랑 싸우면서 수업듣노 졸려서 나간것도아니고 수업도 안들을거면 매시간 스탠딩책상 점거하지말고 진짜 졸린사람위해서 양보해줘라,오량인 (123.215) 2026.04.13 23:41:59 스크랩 조회 678 추천 13 댓글 1,13,678,2026.04.13 23:41:59,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14322&page=5
14317,[일반],"09, 10 긱사생들은 이노래 모르겠구나",https://www.youtube.com/watch?v=Xt9_zgLRD90&list=RDXt9_zgLRD90&start_radio=1 식사하셨어요 Provided to YouTube by Recording Industry Association of Korea식사하셨어요 · 조정민 · 피카소리 · 피카소리 · 피카소리식사하셨어요℗ 2018 RIAKReleased on: 2018-07-20Auto-generated by YouT... www.youtube.com 1학년때 한 학기동안 6시 40분마다 이노래 틀어줘서 ㅈ같았는데,CloudR 2026.04.13 20:24:51 스크랩 조회 556 추천 3 댓글 5,3,556,2026.04.13 20:24:51,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14317&page=5
14323,[일반],올해 리빙랩 수준 왜 이렇게 ㅈ박았냐,리빙랩 나올때까지 ㅈㄴ 기대했는데 나온거 보니까 수준이 이게 맞냐 규모도 ㅈㄴ 작아지고 나온거 설명이랑 구글폼 다 들어가서 봤는데 10000원 내고 하라는 건 또 뭐냐 독밤 마냥 치킨이라도 주면 모르겠는데 세부 일정 뭐하는지 하나도 안 알려주고 활동 장소나 커리큘럼 하나 없이 신청만 하라고 하면 어떡하냐 매주 토요일마다 나가서 하는 것도 ㅈㄴ 비효율적인데 그걸 4번이나 하고 마지막은 금요일까지 하는거는 진짜 일정 개같이도 짠건 누구 아이디어냐? 올해는 외부 학교랑 하는거 맞긴 하냐? 대학 연계말고 원래 고교랑도 같이 했는데 올해는 여자 얘들 한명도 안 올거 같은 느낌이 든다 설마 충남대 하나 믿고 고교 연계조차 안하는 거면 리빙랩 딱지 떼라 제발 포스터도 ㅈㄴ 이해할 수 없게 만들어놓고 카톡 설명도 불친절하고 구글폼까지 아무것도 안 알려주는거는 운영진 올해 ㅈ박은건지 일 똑바로 안하냐 리빙랩 처음으로 진심 ㅈㄴ 실망했고 어떻게 이 꼬라지까지 왔는지는 몰라도 시발 차라리 도마켓이 나아보일 정도다 리빙랩 운영진들 분발 좀 해라 10000원 ㅈㄴ 짜치게 걷지 말고 세부 커리큘럼 제대로 공지해주고 날짜 조정만 해도 많이 지원 할 거 같다 일단 난 올해 리빙랩 신청 안한다 리빙랩 꾸준히 해왔던 사람으로써 정말 실망 많이 했고 그래서 글쓴다 운영진들 분발해라,오량인 (14.50) 2026.04.14 17:33:56 스크랩 조회 970 추천 30 댓글 20,30,970,2026.04.14 17:33:56,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14323&page=5
14321,[일반],남 머리를 왜 자꾸 처만지는 거임,원형탈1모 있어서 들킬까봐 겁난다고 ㅆ발아 작작쳐만져 - dc official App,오량인 (64.34) 2026.04.13 22:55:31 스크랩 조회 549 추천 5 댓글 0,5,549,2026.04.13 22:55:31,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14321&page=5
14314,[일반],버버버버버버버버버버,버터떡 두두 두쫀쿠 봄동 비빔밥,오량인 (14.50) 2026.04.13 09:31:30 스크랩 조회 412 추천 2 댓글 1,2,412,2026.04.13 09:31:30,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14314&page=5
14315,[일반],짜친다,투표결과 보고 갑자기 태세전환 조지고 불이익 줘버리노 ㅋㅋ 걍 창체시간 다 ddc 하고 기록 가능하게 해준다음에 독서 선택으로 하는 게 가장 공평하고 공정한거다.. 처음에는 여러분들~~ 불이익 없을거예여.. 불이익이라고 하는 거 다 개소리입니다~~ 이러다가 갑자기 태세전환해서 안하시는 분들 ddc 팀에서 다 나가고 알아서들 하세요.. 이렇게 나오노 ㅋㅋ 학생부랑 자주반 애들도 쌤들 빨아주려고 톡방에서 여론몰이하고 ㅈㄴ 눈치싸움하는게 ㄹㅇ 걍웃김 이게 대평..인거같다. 왕민지도 지쳐서 이제 그만한다던데 ㅋㅋㅋㅋㅋㅋㅋ 웃기노 참고로 ddc 끝나면 독서는 안해도 되는거 아님? 왜 투표를 받는지 모르겠네;; +ddc를 위한 책 한 권 다 ㄹ읽으면 책 더 이상 읽을 필요 없는데 독서를 왜 계속 시키려고 하는지 ㅋㅋ 한심하다 누굴위한건지 독서 선택한 애새끼들 중에서도 독서 하는사람이 없는데 신청 안한 새기들한테만 불이익주면 그 누가 독서 안한다고 신청하겠음? ㅋㅋ,오량인 (14.50) 2026.04.13 12:49:56 스크랩 조회 737 추천 15 댓글 2,15,737,2026.04.13 12:49:56,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14315&page=5
14324,[일반],싸이빌 동아리는,고전 동아리라는데 왜 아직도 이모양인가요? - dc official App,오량인 (149.88) 2026.04.14 21:56:59 스크랩 조회 407 추천 3 댓글 1,3,407,2026.04.14 21:56:59,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14324&page=5
14316,[일반],대신고 레전드 모음,파인더 떨어지고 일침놓기 맞다이 사건의 전말 명중 참새죽이기 쓰레기탑 발견 사물함에 불남 현수막 음주적발,bigmom 2026.04.13 13:51:12 스크랩 조회 1743 추천 34 댓글 13,34,1743,2026.04.13 13:51:12,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14316&page=5
14311,[일반],09들한테 질문,이제 졸업할 일만 남은 늙은이 08인데 독서 프로그램이 뭐길래 왜 이렇게 격분이냐 자세하게 좀 알려줘라,ktbbtb 2026.04.12 22:34:47 스크랩 조회 579 추천 3 댓글 3,3,579,2026.04.12 22:34:47,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14311&page=5
14313,[일반],국어 시험,학원 안다니고 자습서하고 문제집으로 독학 하는데 잘 볼수 있나요?,오량인 (14.50) 2026.04.13 09:31:22 스크랩 조회 468 추천 1 댓글 1,1,468,2026.04.13 09:31:22,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14313&page=5
14309,[일반],ㄱㅌㅎ쌤,인사좀 받아주세요 사람이 면전에다가 인사하는데 그냥 씹으심ㅇㅇ,오량인 (211.235) 2026.04.12 20:05:30 스크랩 조회 847 추천 29 댓글 2,29,847,2026.04.12 20:05:30,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14309&page=5
14312,[일반],아아 ㅂㅇㅇ쌤 또 당신입니까....,너희들은 요즘 같은 소통의 시대를 주도하는 First penguin이 되도록 하여라,오량인 (1.227) 2026.04.13 00:53:53 스크랩 조회 537 추천 2 댓글 0,2,537,2026.04.13 00:53:53,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14312&page=5
14310,[일반],ㅂㅇㅇ쌤,그립습니다 백Kingin GOAT,ㅇㅇ (175.223) 2026.04.12 22:04:12 스크랩 조회 501 추천 2 댓글 1,2,501,2026.04.12 22:04:12,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14310&page=5
14307,[일반],ㅅㄱㅈ쌤,Race.,오량인 (116.33) 2026.04.12 19:44:27 스크랩 조회 504 추천 5 댓글 1,5,504,2026.04.12 19:44:27,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14307&page=5
14306,[일반],ㄴㅊㅎ쌤,물론 수업 스타일이 맞지 않을 수 있음 피피티 양이 일단 ㅈㄴ 많고 그걸 시험 임박해서 올려주기 때문에 그런거 있어서는 불만이 나올 수 있는데 생기부나 과목 관련해서 이해도는 매우 고트인 쌤이다 괜히 고3 많이 들어오고 생기부 관련해서 조언 많이 하는게 아님 이쁨 받으면 굉장히 좋다 암튼 너무 욕하지는 말고 얻어갈거 잘 얻어가길 바란다,오량인 (218.150) 2026.04.12 19:42:20 스크랩 조회 539 추천 5 댓글 1,5,539,2026.04.12 19:42:20,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14306&page=5
14305,[일반],ㅇㅌㅎ쌤,보청기 끼고 다닌다는 10들이 많은데 그거 골전도 이어폰이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엄쌤 착장이나 그런 아이템들 검색해서 출처 찾는게 은근 재밌음 ㅇㅇ 그리고 이쌤한테 이쁨 받고 싶으면 목재 관련해서 개인적으로 질문 해봐라 환장하실거다 근데 크게 쓸모는 없음,오량인 (218.150) 2026.04.12 19:37:10 스크랩 조회 533 추천 4 댓글 1,4,533,2026.04.12 19:37:10,https://gall.dcinside.com/mgallery/board/view/?id=daeshinhigh&no=14305&page=5
